2025-12-16T16:29:13.722431,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T17:06:27.260499,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T17:06:41.806820,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T17:06:51.939117,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:42:32.758541,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:42:47.185760,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:42:57.307410,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:43:07.408253,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:43:17.516086,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:43:27.634598,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:43:37.768452,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:43:47.870245,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:43:57.992351,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:44:08.088942,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:44:18.194166,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:44:28.305240,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:44:38.411608,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:44:48.522358,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:44:58.618823,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:45:08.700417,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:45:18.810955,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:45:28.935546,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:45:39.071680,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:45:49.175036,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:45:59.291931,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:46:09.422561,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:46:19.541657,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
2025-12-16T20:46:29.677955,ff:ff:ff:ff:ff:ff,10.52.102.255;255.255.255.255;192.168.174.255;192.168.56.255;192.168.157.255;169.254.255.255
