timestamp,message
2025-12-15 18:42:57,GUI ready. Configure receiver email in config file before running alerts.
2025-12-15 18:43:01,Taking baseline ARP snapshot...
2025-12-15 18:43:01,Baseline entries: 12
2025-12-15 18:43:01,Sniffer thread started (listening for ARP replies)...
